Compound,Gradient,Abundance A,Abundance B
"Sulfurous acid, 2-ethylhexyl heptadecyl ester",0.29,0,0.29
"Sulfurous acid, 2-ethylhexyl hexadecyl ester",0.29,0,0.29
"Heptane, 2,2,3,5-tetramethyl-",0.29,0,0.29
"Bicyclo[4.2.0]octa-1,3,5-triene",0.28,0.12,0.41
"1,3,5,7-Cyclooctatetraene",0.28,0.12,0.41
Styrene,0.28,0.12,0.41
"Pentane, 3-ethyl-",0.28,0.03,0.31
p-Xylene,0.27,0.39,0.66
"Nonane, 2,2,3-trimethyl-",0.27,0,0.27
"Decane, 4-methyl-",0.27,0.07,0.34
"Butane, 1,1,3,4-tetrachloro-1,2,2,3,4,4-hexafluoro-",0.27,0.03,0.3
"Butane, 1,2,3,4-tetrachloro-1,1,2,3,4,4-hexafluoro-",0.27,0.03,0.3
2-Hexyl-1-octanol,0.26,0,0.26
"Dichloroacetic acid, tetradecyl ester",0.26,0,0.26
"2-Decene, 8-methyl-, (Z)-",0.26,0,0.26
"2,4-Dimethyl-1-heptene",0.26,0,0.26
"1-Heptene, 5-methyl-",0.26,0,0.26
"Decane, 6-ethyl-2-methyl-",0.25,0,0.25
"3,5-Di-t-butyl-4-methoxy-1,4-dihydrobenzaldehyde",0.24,0,0.24
"9-Hexadecenoic acid, 9-octadecenyl ester, (Z,Z)-",0.24,0,0.24
"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",0.24,0,0.24
Phosphorus trichloride,0.24,0,0.24
1-Nonene,0.24,0,0.24
3-Nonene,0.24,0,0.24
Decane,0.24,0.2,0.43
"Hexane, 3-ethyl-2-methyl-",0.24,0.57,0.81
"Hexane, 2,3,5-trimethyl-",0.23,0,0.23
"Octane, 2,6-dimethyl-",0.23,0.8,1.03
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",0.23,0.13,0.36
"Cyclohexene, 4-methyl-3-(1-methylethylidene)-",0.22,0,0.22
"Dodecane, 6-methyl-",0.22,0,0.22
"Undecane, 2,5-dimethyl-",0.22,0,0.22
"2,2,7,7-Tetramethyltricyclo[6.2.1.0(1,6)]undec-4-en-3-one",0.22,0,0.22
Tridecane,0.22,0.19,0.41
"Pentane, 2,3,4-trimethyl-",0.22,0.09,0.31
"Undecane, 4,6-dimethyl-",0.22,0.21,0.43
"Nonane, 2-methyl-5-propyl-",0.22,0.15,0.37
"Octane, 5-ethyl-2-methyl-",0.22,0,0.22
"Decane, 5,6-dipropyl-",0.22,0,0.22
"1H-Pyrazole, 3-methyl-",0.21,0,0.21
"Decane, 2,5,6-trimethyl-",0.21,0.22,0.43
Butylated Hydroxytoluene,0.2,0,0.2
"Phenol, 2,6-bis(1,1-dimethylethyl)-4-methyl-, methylcarbamate",0.2,                  0.00                   0.20,0
"Phenol, 4,6-di(1,1-dimethylethyl)-2-methyl-",0,0,0.2
"1-Decene, 2,4-dimethyl-",0,0,0.2
"Cyclooctane, 1,4-dimethyl-, cis-",0,0,0.2
"Cyclooctane, 1,4-dimethyl-, trans-",0,0,0.2
1-Chloroundecane,0,0,0.2
"Tetradecane, 1-chloro-",0,0,0.2
"Benzene, (1,3,3-trimethylnonyl)-",0,0.11,0.31
"1,3-Isobenzofurandione, hexahydro-4,7-dimethyl-",0,0,0.2
Dimethyl selenide,0,0,0.2
"Tricyclo[4.3.1.1(3,8)]undecan-3-ol",0,0,0.2
"Heptadecane, 2,6-dimethyl-",0,0.09,0.28
"Butane, 1-bromo-3-methyl-",0,0,0.2
"3-Hexanone, 4,4-dimethyl-",0,0,0.2
"2-Piperidinone, N-[4-bromo-n-butyl]-",0,0,0.19
"1,2-Dichloro-4-fluorobenzene",0,0.52,0.71
Tetrachloroethylene,0,0.52,0.71
"2-Propanol, 2-methyl-",0,0,0.19
"Formic acid, 1,1-dimethylethyl ester",0,0,0.19
"Tridecane, 1-iodo-",0,0,0.19
"Tridecane, 6-propyl-",0,0,0.19
"Decane, 2,2-dimethyl-",0,0.08,0.27
"Cyclopentane, 1,2-dimethyl-, trans-",0,0,0.19
"Bicyclo[3.1.0]hex-2-ene, 4-methylene-1-(1-methylethyl)-",0,0,0.19
Nonane,0,0.14,0.32
"3-Tetradecene, (E)-",0,0,0.18
"6-Tetradecene, (E)-",0,0,0.18
"2-Tetradecene, (E)-",0,0,0.18
"Nonane, 3,7-dimethyl-",0,0.19,0.37
"Heptane, 2,2-dimethyl-",0,0.18,0.35
Butyl isocyanatoacetate,0,0.18,0.35
"Octane, 4,5-dipropyl-",0,0,0.18
"Undecane, 6-methyl-",0.18,0,0.18
"Cyclohexanol, 1-methyl-4-(1-methylethyl)-",0.18,0.31,0.49
"Sulfurous acid, pentyl tetradecyl ester",0.18,0,0.18
"Sulfurous acid, decyl pentyl ester",0.18,0,0.18
"Decane, 2,3,4-trimethyl-",0.17,0.31,0.48
"Hexadecane, 1-chloro-",0.17,0,0.17
1-Octadecanesulphonyl chloride,0.17,0,0.17
1-Iodo-2-methylundecane,0.16,0,0.16
"Nonadecane, 2-methyl-",0.16,0,0.16
"Eicosane, 2-methyl-",0.16,0,0.16
"1-Pentene, 4-methyl-",0.16,0,0.16
"Propane, 2-cyclopropyl-",0.16,0,0.16
"Cyclopropane, 1-methyl-2-pentyl-",0.16,0.08,0.24
"2-Undecanethiol, 2-methyl-",0.16,0,0.16
"1-Adamantanecarboxylic acid, 5-tetradecyl ester",0.16,0,0.16
"Chloroacetic acid, 3-tetradecyl ester",0.16,0,0.16
(Z)-2-Heptene,0.16,0,0.16
"Decane, 2,6,6-trimethyl-",0.16,0.13,0.28
"Sulfurous acid, 2-ethylhexyl nonyl ester",0.16,0,0.16
"Sulfurous acid, pentyl undecyl ester",0.16,0,0.16
"Sulfurous acid, 2-ethylhexyl undecyl ester",0.16,0,0.16
"Tridecane, 7-methyl-",0.15,0.06,0.22
"Tridecane, 5-methyl-",0.15,0,0.15
"Undecane, 2,7-dimethyl-",0.15,0,0.15
"Benzene, 1,3,5-trimethyl-",0.15,0.11,0.26
"Tridecane, 4-methyl-",0.15,0,0.15
"Undecane, 3,9-dimethyl-",0.15,0,0.15
"Undecane, 3-ethyl-",0.15,0,0.15
1-Heptene,0.15,0.04,0.19
"Octane, 2,5-dimethyl-",0.15,0,0.15
"Hexane, 3-ethyl-2,5-dimethyl-",0.15,0.14,0.29
"Decane, 2,5,9-trimethyl-",0.15,0.1,0.25
"Sulfurous acid, dodecyl 2-pentyl ester",0.14,0,0.14
"Sulfurous acid, dodecyl pentyl ester",0.14,0,0.14
"Octane, 4-ethyl-",0.14,0.07,0.22
"Cyclopentane, 1,3-dimethyl-, cis-",0.14,0.05,0.19
"Butane, 1-(ethenyloxy)-3-methyl-",0.14,0,0.14
"1,2,4-Trioxolane, 3,5-diphenyl-",0.14,0,0.14
"Benzeneacetonitrile, Ã -hydroxy-",0.14,0,0.14
1-Hexadecanol,0.14,0,0.14
"Cyclopentane, nonyl-",0.14,0,0.14
"Hexadecen-1-ol, trans-9-",0.14,0,0.14
"Heptane, 2,3,4-trimethyl-",0.14,0,0.14
"5-Undecene, 3-methyl-, (E)-",0.13,0,0.13
"5-Undecene, 3-methyl-, (Z)-",0.13,0,0.13
"Decane, 2,6,7-trimethyl-",0.13,0.15,0.28
"Eicosane, 10-methyl-",0.13,0,0.13
